width,learning_rate,dropout,l2_decay,best_val_acc,test_acc,time_sec
16,0.0005,0.0,0.0,0.7576442307692308,0.7536057692307693,37.972325801849365
16,0.0005,0.0,0.0001,0.7661538461538462,0.7664423076923077,37.679590702056885
16,0.0005,0.3,0.0,0.7028846153846153,0.7008173076923077,36.53465676307678
16,0.0005,0.3,0.0001,0.7148557692307692,0.7134134615384615,37.29505205154419
16,0.001,0.0,0.0,0.7763942307692308,0.7732692307692308,38.14523482322693
16,0.001,0.0,0.0001,0.7807692307692308,0.7767307692307692,36.985332012176514
16,0.001,0.3,0.0,0.7116346153846154,0.7069230769230769,37.46132206916809
16,0.001,0.3,0.0001,0.724423076923077,0.7222115384615385,39.03424000740051
16,0.002,0.0,0.0,0.7790384615384616,0.7774519230769231,35.83198118209839
16,0.002,0.0,0.0001,0.7826923076923077,0.7822115384615385,36.23444414138794
16,0.002,0.3,0.0,0.7076923076923077,0.703125,37.49728298187256
16,0.002,0.3,0.0001,0.7213942307692308,0.7144711538461539,38.05044913291931
16,0.005,0.0,0.0,0.7682211538461539,0.765576923076923,36.665481090545654
16,0.005,0.0,0.0001,0.7788461538461539,0.7819711538461539,36.23278307914734
16,0.005,0.3,0.0,0.6967788461538461,0.6857692307692308,37.72945308685303
16,0.005,0.3,0.0001,0.713701923076923,0.7018269230769231,37.93260431289673
32,0.0005,0.0,0.0,0.8391346153846154,0.8353365384615384,37.40846109390259
32,0.0005,0.0,0.0001,0.8390865384615385,0.8372115384615385,37.549046993255615
32,0.0005,0.3,0.0,0.8041826923076923,0.8032211538461539,38.420379877090454
32,0.0005,0.3,0.0001,0.8002403846153846,0.803125,42.43665814399719
32,0.001,0.0,0.0,0.8482211538461538,0.8482692307692308,37.367506980895996
32,0.001,0.0,0.0001,0.8440384615384615,0.8445192307692307,40.74347543716431
32,0.001,0.3,0.0,0.811875,0.8076442307692308,38.04170799255371
32,0.001,0.3,0.0001,0.8122596153846153,0.8102403846153846,38.626625776290894
32,0.002,0.0,0.0,0.8453365384615384,0.8410096153846154,36.69208788871765
32,0.002,0.0,0.0001,0.8471634615384616,0.8450961538461539,45.5359570980072
32,0.002,0.3,0.0,0.7948076923076923,0.7933173076923077,44.028631925582886
32,0.002,0.3,0.0001,0.8072115384615385,0.8049038461538461,49.77964377403259
32,0.005,0.0,0.0,0.8160096153846154,0.8089903846153846,44.7037410736084
32,0.005,0.0,0.0001,0.8111538461538461,0.8119711538461538,43.20331907272339
32,0.005,0.3,0.0,0.7947115384615384,0.7863942307692308,42.979109048843384
32,0.005,0.3,0.0001,0.792451923076923,0.7820673076923077,46.57513785362244
64,0.0005,0.0,0.0,0.8772596153846154,0.8798557692307692,45.8467230796814
64,0.0005,0.0,0.0001,0.8760576923076923,0.8776442307692308,53.15320086479187
64,0.0005,0.3,0.0,0.8636057692307693,0.8600961538461539,49.09205889701843
64,0.0005,0.3,0.0001,0.8600480769230769,0.8568269230769231,49.504162073135376
64,0.001,0.0,0.0,0.8792788461538461,0.8745192307692308,43.4510338306427
64,0.001,0.0,0.0001,0.8842788461538461,0.8808173076923077,50.32362198829651
64,0.001,0.3,0.0,0.8641346153846153,0.8606730769230769,44.402161836624146
64,0.001,0.3,0.0001,0.8639423076923077,0.8615384615384616,51.44479513168335
64,0.002,0.0,0.0,0.8737980769230769,0.8711538461538462,44.75191879272461
64,0.002,0.0,0.0001,0.876875,0.8766826923076924,47.107967138290405
64,0.002,0.3,0.0,0.8575480769230769,0.854375,47.2095091342926
64,0.002,0.3,0.0001,0.859375,0.8569711538461539,51.07825303077698
64,0.005,0.0,0.0,0.85625,0.8511057692307692,45.48699975013733
64,0.005,0.0,0.0001,0.859375,0.8560096153846154,48.92284107208252
64,0.005,0.3,0.0,0.8448076923076923,0.8366826923076923,48.34709715843201
64,0.005,0.3,0.0001,0.8374038461538461,0.8287980769230769,51.90896511077881
128,0.0005,0.0,0.0,0.8952403846153846,0.8954807692307692,54.85559010505676
128,0.0005,0.0,0.0001,0.8954807692307692,0.8946153846153846,64.05709505081177
128,0.0005,0.3,0.0,0.8921634615384615,0.8932211538461539,55.84541392326355
128,0.0005,0.3,0.0001,0.8930288461538461,0.8919711538461539,63.93674278259277
128,0.001,0.0,0.0,0.8917788461538462,0.8873557692307692,57.33734679222107
128,0.001,0.0,0.0001,0.8963461538461538,0.8954326923076923,60.192381858825684
128,0.001,0.3,0.0,0.8921634615384615,0.8878365384615384,60.41014909744263
128,0.001,0.3,0.0001,0.8941346153846154,0.8909134615384615,61.68829965591431
128,0.002,0.0,0.0,0.8877403846153846,0.8838942307692308,55.57012176513672
128,0.002,0.0,0.0001,0.8928365384615384,0.8931730769230769,60.017979860305786
128,0.002,0.3,0.0,0.8865865384615385,0.88625,55.49405908584595
128,0.002,0.3,0.0001,0.8845192307692308,0.8830288461538461,64.77649927139282
128,0.005,0.0,0.0,0.8724038461538461,0.868798076923077,56.965394735336304
128,0.005,0.0,0.0001,0.8738461538461538,0.8738942307692308,64.1211998462677
128,0.005,0.3,0.0,0.8647115384615385,0.8601442307692307,59.57526087760925
128,0.005,0.3,0.0001,0.8633653846153846,0.8575,62.15609383583069
256,0.0005,0.0,0.0,0.9076923076923077,0.89875,75.55367398262024
256,0.0005,0.0,0.0001,0.9054807692307693,0.9074519230769231,62.922415018081665
256,0.0005,0.3,0.0,0.9109134615384615,0.9066346153846154,55.14310908317566
256,0.0005,0.3,0.0001,0.9087980769230769,0.9067788461538462,63.11168313026428
256,0.001,0.0,0.0,0.9011057692307692,0.8966346153846154,51.96803879737854
256,0.001,0.0,0.0001,0.9054807692307693,0.9000961538461538,57.55445384979248
256,0.001,0.3,0.0,0.9072115384615385,0.9075961538461539,55.96092486381531
256,0.001,0.3,0.0001,0.9063461538461538,0.905673076923077,60.95672082901001
256,0.002,0.0,0.0,0.8987019230769231,0.8907211538461538,49.726927280426025
256,0.002,0.0,0.0001,0.9016346153846154,0.8959615384615385,54.927433013916016
256,0.002,0.3,0.0,0.8995192307692308,0.8971153846153846,54.536399126052856
256,0.002,0.3,0.0001,0.9005288461538462,0.895,61.40267276763916
256,0.005,0.0,0.0,0.8846634615384615,0.8669230769230769,50.09537720680237
256,0.005,0.0,0.0001,0.8778846153846154,0.8642307692307692,60.190802812576294
256,0.005,0.3,0.0,0.8767307692307692,0.8716346153846154,54.5976459980011
256,0.005,0.3,0.0001,0.8713942307692307,0.8632211538461538,60.50295114517212
