depth,best_val_acc,test_acc,final_train_acc
1,0.8427884615384615,0.8402403846153846,0.8668365384615384
3,0.8670673076923077,0.8652403846153847,0.8938076923076923
5,0.8634134615384615,0.8622596153846154,0.8899134615384615
7,0.8632692307692308,0.8615865384615384,0.8912692307692308
9,0.8492307692307692,0.8474038461538461,0.8723942307692307
